entrez_id	genesymbol
	phage_lambda_genome
	phage_lambda_genome
	phage_lambda_genome:low
	phage_lambda_genome:low
	thrB
	phage_lambda_genome:mm2
	phage_lambda_genome:mm2
	phage_lambda_genome:mm2
	phage_lambda_genome:mm2
1915	EEF1A1
2597	GAPDH
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
	permuted_negative
